Contract Count,ID,LGA,Population,TargetedGroup,Service,Agency,Indigenous,SEIFA,Year
9,32240-01,Hay,2989,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,14,Y 2015
9,32240-01,Jerilderie,1519,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,66,Y 2015
9,32240-01,Junee,6297,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,23,Y 2015
9,32240-01,Leeton,11595,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,33,Y 2015
9,32240-01,Lockhart,3080,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,67,Y 2015
9,32240-01,Murray,7466,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,56,Y 2015
9,32240-01,Murrumbidgee,2528,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,17,Y 2015
9,32240-01,Narrandera,5961,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,12,Y 2015
9,32240-01,Temora,6050,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,30,Y 2015
9,32240-01,Tumbarumba,3578,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,39,Y 2015
9,32240-01,Tumut,11375,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,27,Y 2015
9,32240-01,Urana,1147,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,20,Y 2015
9,32240-01,Wagga Wagga,62799,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,71,Y 2015
9,32240-01,Wakool,3990,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,54,Y 2015
9,32902-01,Armidale Dumaresq,25327,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,67,Y 2015
9,32902-01,Glen Innes Severn,8966,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,13,Y 2015
9,32902-01,Gunnedah,12826,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,28,Y 2015
9,32902-01,Guyra,4619,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,18,Y 2015
9,32902-01,Gwydir,5080,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,25,Y 2015
9,32902-01,Inverell,16846,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,12,Y 2015
9,32902-01,Liverpool Plains,7819,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,13,Y 2015
9,32902-01,Moree Plains,14092,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,15,Y 2015
9,32902-01,Narrabri,13764,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,36,Y 2015
9,32902-01,Tamworth,60495,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,45,Y 2015
9,32902-01,Tenterfield,6980,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,10,Y 2015
9,32902-01,Uralla,6408,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,62,Y 2015
9,32902-01,Walcha,3098,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,55,Y 2015
8,SaS~12105690239~2088,Mosman,30276,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,99,Y 2015
8,SaS~12105690239~2092,Manly,44786,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,96,Y 2015
8,SaS~12499095112~2330,Singleton,23884,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,76,Y 2015
8,SaS~13006824004~2441,Nambucca,19655,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,6,Y 2015
8,SaS~16104341148~2821,Narromine,6854,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,19,Y 2015
8,SaS~30108811687~2871,Forbes,9759,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,29,Y 2015
8,SaS~34145498571~2481,Byron,32119,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,64,Y 2015
8,SaS~43008496928~2428,Great Lakes,36499,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,17,Y 2015
8,1-2912951034,Burwood,36053,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,79,Y 2015
8,1-2912951034,Canada Bay,87480,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,90,Y 2015
8,1-2912951034,Canterbury,150626,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,34,Y 2015
8,1-2912951034,Leichhardt,58136,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,93,Y 2015
8,1-2912951034,Marrickville,83356,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,83,Y 2015
8,1-2912951034,Randwick,143776,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,88,Y 2015
8,1-2912951034,Strathfield,39481,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,84,Y 2015
8,1-2912951034,Sutherland,225070,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,89,Y 2015
8,1-2912951034,Woollahra,58619,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,98,Y 2015
8,1-2913050570,Auburn,85446,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,41,Y 2015
8,1-2913050570,Blacktown,332424,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,61,Y 2015
8,1-2913050570,Blue Mountains,79688,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,82,Y 2015
8,1-2913050570,Hawkesbury,65527,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,77,Y 2015
8,1-2913050570,Holroyd,111100,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,60,Y 2015
8,1-2913050570,Parramatta,189932,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,73,Y 2015
8,1-2913050570,Penrith,194134,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,71,Y 2015
8,1-2913050570,The Hills,187703,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,97,Y 2015
8,32204-01,Ballina,41644,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,65,Y 2015
8,32204-01,Byron,32119,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,64,Y 2015
8,32204-01,Clarence Valley,51003,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,9,Y 2015
8,32204-01,Kyogle,9531,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,8,Y 2015
8,32204-01,Lismore,44629,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,43,Y 2015
8,32204-01,Richmond Valley,22983,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,5,Y 2015
8,32204-01,Tweed,91210,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,45,Y 2015
8,32285-01,Bellingen,13032,214 Families (aged or disability care),A01.3 Community living support,FACS,Non Indigenous,36,Y 2015
8,32285-01,Coffs Harbour,72382,214 Families (aged or disability care),A01.3 Community living support,FACS,Non Indigenous,46,Y 2015
8,32285-01,Gloucester,5064,214 Families (aged or disability care),A01.3 Community living support,FACS,Non Indigenous,31,Y 2015
8,32285-01,Great Lakes,36499,214 Families (aged or disability care),A01.3 Community living support,FACS,Non Indigenous,17,Y 2015
8,32285-01,Greater Taree,48941,214 Families (aged or disability care),A01.3 Community living support,FACS,Non Indigenous,8,Y 2015
8,32285-01,Kempsey,29643,214 Families (aged or disability care),A01.3 Community living support,FACS,Non Indigenous,3,Y 2015
8,32285-01,Nambucca,19655,214 Families (aged or disability care),A01.3 Community living support,FACS,Non Indigenous,6,Y 2015
8,32285-01,Port Macquarie-Hastings,77481,214 Families (aged or disability care),A01.3 Community living support,FACS,Non Indigenous,49,Y 2015
8,32416-01,Blue Mountains,79688,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,82,Y 2015
8,32416-01,Hawkesbury,65527,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,77,Y 2015
8,32416-01,Lithgow,21249,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,15,Y 2015
8,32416-01,Penrith,194134,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,71,Y 2015
7,SaS~12499095112~2333,Muswellbrook,17045,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,51,Y 2015
7,SaS~13161368029~2380,Gunnedah,12826,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,28,Y 2015
7,SaS~13161368029~2404,Gwydir,5080,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,25,Y 2015
7,SaS~20201193994~2720,Tumut,11375,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,27,Y 2015
7,SaS~22739148592~2680,Griffith,25811,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,48,Y 2015
7,SaS~34007129964~2705,Leeton,11595,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,33,Y 2015
7,SaS~38119120955~2794,Cowra,12574,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,16,Y 2015
7,SaS~46590341073~2386,Narrabri,13764,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,36,Y 2015
7,1-2912951034,Ashfield,44498,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,80,Y 2015
7,1-2912951034,Hurstville,85886,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,78,Y 2015
7,1-2912951034,Kogarah,61030,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,86,Y 2015
7,1-2912951034,Rockdale,108072,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,75,Y 2015
7,1-2912951034,Waverley,71769,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,92,Y 2015
7,1-2912951640,Liverpool,199928,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,58,Y 2015
7,32222-01,Cessnock,54979,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,19,Y 2015
7,32222-01,Dungog,9108,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,63,Y 2015
7,32222-01,Lake Macquarie,202676,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,69,Y 2015
7,32222-01,Maitland,75170,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,70,Y 2015
7,32222-01,Muswellbrook,17045,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,51,Y 2015
7,32222-01,Newcastle,160021,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,72,Y 2015
7,32222-01,Port Stephens,69728,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,58,Y 2015
7,32222-01,Singleton,23884,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,76,Y 2015
7,32222-01,Upper Hunter,14658,360 Daily living assistance (multiple needs),A05.2 Residential care (disabilities),FACS,Non Indigenous,56,Y 2015
7,32332-01,Ashfield,44498,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,80,Y 2015
7,32332-01,Burwood,36053,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,79,Y 2015
7,32332-01,Canada Bay,87480,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,90,Y 2015
7,32332-01,Canterbury,150626,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,34,Y 2015
7,32332-01,Leichhardt,58136,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,93,Y 2015
7,32332-01,Marrickville,83356,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,83,Y 2015
7,32332-01,Strathfield,39481,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,84,Y 2015
7,32920-01,Blue Mountains,79688,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,82,Y 2015
7,32920-01,Hawkesbury,65527,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,77,Y 2015
7,32920-01,Lithgow,21249,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,15,Y 2015
7,32920-01,Penrith,194134,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,71,Y 2015
6,SaS~16104341148~2421,Dungog,9108,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,63,Y 2015
6,SaS~16104341148~2582,Yass Valley,16433,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,88,Y 2015
6,SaS~30108811687~2663,Junee,6297,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,23,Y 2015
6,SaS~38119120955~2850,Mid-Western,24017,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,47,Y 2015
6,SaS~38119929805~2140,Strathfield,39481,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,84,Y 2015
6,1-2912951034,Botany Bay,44742,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,69,Y 2015
6,1-2912951034,Hornsby,168614,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,93,Y 2015
6,1-2912951034,Manly,44786,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,96,Y 2015
6,1-2912951034,Mosman,30276,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,99,Y 2015
6,1-2912951034,North Sydney,71025,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,97,Y 2015
6,1-2912951034,Pittwater,63338,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,95,Y 2015
6,1-2912951034,Ryde,114598,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,89,Y 2015
6,1-2912951034,Warringah,155289,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,91,Y 2015
